,id_question,question_description,subquestion_description,abbreviated_question
964,1216,Where or when was this?,"Other, namely (recalculated without N/A)","Other, namely (recalculated without N/A)"
965,1217,To what extent do you agree with the following statements?,In the past year I have had more contact with people in my neighborhood,I had more contact with people in my neighbourhood
966,1220,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,In my neighborhood little to no things are broken.,In my neighborhood little to no things are broken
967,1221,Where or when was this?,At work / when finding work (recalculated without N/A),Unfairly/unequally treated at work/when finding work (recalculated without N/A)
968,1223,Which of the following activity(s) applies to you?,I do paid work for at least 12 hours a week.,Do paid work (at least 12 hours per week)
969,1224,What type of house do you live in?,Open answer to closed question,Different kind of house
970,1225,What do you think of the following statements about your current home?,The layout is suitable for me/my family.,Layout suitable for me/my family
971,1226,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,The people in the neighborhood barely know each other.,The people in the neighborhood hardly know each other
972,1227,What is the main reason you don't want to move?,What is the main reason you don't want to move?,Main reason not to move
973,1228,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Help with neighborhood watch (watch what happens and report irregularities to the relevant authorities).,Help with neighborhood prevention
974,1229,Has the following happened to you or anyone else in your household in the past 12 months?,Sales fraud,Sales fraud occurred in household
975,1230,On what basis did you feel you were treated unfairly or unequally?,Origin / Skin color (recalculated without N/A),Feeling of being treated unfairly/unequally based on origin/skin color (recalculated without N/A)
976,1231,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Drug laboratories,Drug laboratories are common in the area
977,1232,Are you someone who,easily arranges and organizes help yourself if needed,Can arrange help yourself
978,1233,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the quality of the housing,Satisfied with the quality of the homes
979,1234,Which of the following activity(s) applies to you?,I do paid work for at least 12 hours a week.,Do paid work (at least 12 hours per week)
980,1235,What were the main reasons you moved at the time?,Current home not suitable for the elderly,Moved due to unsuitable housing for the elderly
981,1236,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Driving too fast,Speeding is (sometimes) common in my neighborhood
982,1237,Can you manage well when it comes to:,"walking, sitting and standing","Can manage well with walking, sitting and standing"
983,1238,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Exploitation of human beings/trafficking,Human exploitation/trafficking occurs in the area
984,1240,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,There is plenty of greenery in my neighbourhood.,There is plenty of greenery in my neighbourhood
985,1241,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Theft of wallet, bag, phone, tablet or laptop",Been a victim of theft wallet/bag/phone/tablet/laptop
986,1242,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Domestic violence,Been a victim of domestic violence
987,1243,Has the following happened to you or anyone else in your household in the past 12 months?,Hacking,Hacking occurred in household
988,1244,To what extent do you agree or disagree with the following statements about the municipality?,The council does what it says.,The council does what it says
989,1245,What were the main reasons you moved at the time?,Wants to move closer to parents/children,Moved to live closer to parents/children
990,1246,Which of the following activity(s) applies to you?,I am retired/with prT pension.,Am retired/with pre-retirement
991,1247,What do you think of the following statements about your current home?,The rent / my mortgage is actually too high for my income,Rent / Mortgage actually too high for my income
992,1250,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,shops for daily shopping,Satisfied with shops for daily shopping
993,1253,Why didn't you report it to the municipality?,It wasn't that important,Not important to report to the municipality
994,1254,"During the past 12 months, how often did you do the following activities in your spare time?","Excursions that do not cost money (hiking, beach, into the woods, playground).",Often made trips that cost no money
995,1255,What were the main reasons you moved at the time?,Favorable time to sell a home,Moved due to favorable period to sell house
996,1256,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Cannabis plantations,Weed plantations are located nearby
997,1257,Do you have for your home:,Do you have: a working smoke detector,Working smoke detector for my home
998,1260,"During the past 12 months, how often did you do the following activities in your spare time?",Meeting up with friends for fun or to do fun things together.,Meeting up with friends often
999,1261,Are you someone who,manages to get through difficult times,Knows how to get through difficult times
1000,1264,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the care of residents for their home and garden,Satisfied with the care of residents for their home and garden
1001,1265,Can you manage well when it comes to:,household chores,Copes well with household chores
1002,1266,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the safety in your area,Satisfied with neighborhood safety
1003,1267,"During the past 12 months, how often did you do the following activities in your spare time?","Cultural trips (theatre, museum, film festival, etc.).",Often done cultural trips
1004,1269,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,The people in the neighborhood barely know each other.,The people in the neighborhood hardly know each other
1005,1272,Where or when was this?,At School / Training / Internship,Treated unfairly/unequally at school/education/internship
1006,1273,Why didn't you report it to the municipality?,Didn't feel like it or had time for it,Didn't feel like / had time to report to the municipality
1007,1274,On what basis did you feel you were treated unfairly or unequally?,Something else (recalculated without N/A),Something else (recalculated without N/A)
1008,1275,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Bicycle theft,Victim of bicycle theft
1009,1276,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,shops for daily shopping,Satisfied with shops for daily shopping
1010,1278,Which of the following activity(s) applies to you?,I am self-employed for less than 12 hours a week (1-11 hours).,Work as a self-employed person (1-11 hours per week)
1011,1279,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Theft OF a car, motorcycle or scooter","Been a victim of theft of a car, motorcycle or scooter"
1012,1280,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,"Online (Facebook, Instagram, Snapchat, etc.)",Meet the people near me online
1013,1281,Does it ever happen that you à,Are you afraid that you yourself will become a victim of crime?,Fear of becoming a victim of crime
1014,1283,Which of the following activity(s) applies to you?,"I don't have a paid job right now, but I'm looking for work",Looking for a job
1015,1285,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Other (leisure) association,Active in other (leisure) associations
1016,1286,Are you getting help with anything?,Household chores,Get help with household chores
1017,1287,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",People harassed in the street,People being harassed on the street is (sometimes) common in my neighborhood
1018,1288,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I have a lot of contact with other local residents.,Lots of contact with other local residents
1019,1289,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Abuse (outdoors),Been a victim of abuse (outdoors)
1020,1290,Are you getting help with anything?,Establishing and maintaining social contacts,Help with establishing and maintaining social contacts
1021,1331,Does it ever happen that you à,does not allow your child(ren) to go anywhere near you because you do not think it is safe?,Unsafe neighborhood for children
1022,1292,What did you do then? (More answers possible),"Reported to another organisation: GGD Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution","Reported to the following organisation: GGD, Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution"
1023,1293,"Have you or anyone in your household experienced cyberbullying (gossip, taunting, bullying, stalking, blackmail or threats over the internet) in the past 12 months?",Your child/(TTn of) your children,Child(ren) experienced cyberbullying
1024,1294,What were the main reasons you moved at the time?,Because of study / work,Moved because of study/work
1025,1296,Can you manage well when it comes to:,administration/finance,Can manage well with administration / finances
1026,1297,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,(Members of) Motorcycle Gangs,(Members of) motorcycle gangs are common in the area
1027,1298,To what extent do you agree or disagree with the statements below?,The use of supervisors increases safety in my neighbourhood.,The use of supervisors increases safety in my neighbourhood.
1028,1299,To what extent do you agree or disagree with the following statements about the municipality?,The council does what it says.,The council does what it says
1029,1300,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At school / in the schoolyard,Meet the people from my neighborhood at school / in the schoolyard
1030,1302,Do you want to sign up for,Follow-up research,Submitted for further investigation
1031,1303,Can you manage well when it comes to:,"walking, sitting and standing (recalculated without N/A)","Copes well with walking, sitting and standing (recalculated without N/A)"
1032,1304,Where or when was this?,In cafe / restaurant or other place of entertainment,Treated unfairly/unequally in a bar/restaurant or other place of entertainment
1033,1305,Does it ever happen that you à,detour or detour in your own neighborhood to avoid unsafe places?,walk/drive around to avoid unsafe places
1034,1307,Can you manage well when it comes to:,your physical health (recalculated without N/A),Copes well with physical health (recalculated without N/A)
1035,1308,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the safety in your area,Satisfied with neighborhood safety
1036,1309,To what extent do you agree or disagree with the following statements about the municipality?,The municipality appeals to local residents to contribute to quality of life and safety.,The municipality appeals to local residents to contribute to quality of life and safety
1037,1311,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Theft OF a car, motorcycle or scooter","Been a victim of theft of a car, motorcycle or scooter"
1038,1313,Please indicate the extent to which each of the following statements applies to you as you have been lately?,There are enough people with whom I feel close.,Enough people with whom I feel closely connected
1039,1314,Which of the following activity(s) applies to you?,I am studying/following a course/at school.,Study/get an education/go to school
1040,1316,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Burglary in shed, garage or storage room",Been a victim of burglary in a barn/garage/storage room
1041,1317,What do you think of the following statements about your current home?,It is a pleasant house.,Nice house
1042,1319,What were the main reasons you moved at the time?,Family expansion,Moved for family expansion
1043,1320,Where or when was this?,At School / Training / Internship (recalculated without N/A),Unfair/unequally treated at school/education/internship (recalculated without N/A)
1044,1322,Can you manage well when it comes to:,household chores,Copes well with household chores
1045,1323,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Theft of wallet, bag, phone, tablet or laptop",Been a victim of theft wallet/bag/phone/tablet/laptop
1046,1325,Are you getting help with anything?,Establishing and maintaining social contacts,Help with establishing and maintaining social contacts
1047,1326,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Parking problems, for example incorrectly parked vehicles or crowds",Parking problems are (sometimes) common in my neighborhood
1048,1327,Where or when was this?,On the street in my neighborhood,Treated unfairly/unequally on the street in my neighbourhood
1049,1328,Which of the following activity(s) applies to you?,I do not work because I am long-term sick or incapacitated for work.,Do not work because I am long-term ill or incapacitated for work
1050,1330,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,There is ample parking in my neighborhood.,There is ample parking in my neighborhood
1051,1333,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,"Beds, public gardens and parks in my neighborhood are well maintained.","Beds, public gardens and parks in my neighborhood are well maintained"
1052,1334,Do you want to sign up for,Raffle,Submitted for raffle
1053,1336,Why didn't you report it to the municipality?,On the advice of the police,No report was made on the advice of the police
1054,1338,Are you getting help with anything?,Household chores,Get help with household chores
1055,1340,Can you manage well when it comes to:,"walking, sitting and standing","Can manage well with walking, sitting and standing"
1056,1341,Which of the following activity(s) applies to you?,I am taking part in a reintegration programme.,Participate in reintegration process
1057,1342,On what basis did you feel you were treated unfairly or unequally?,Age (recalculated without N/A),Feeling of being treated unfairly/unequally by age (recalculated without N/A)
1058,1343,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Illegal activity,Illegal activity occurs in the area
1059,1345,To what extent do you agree or disagree with the statements below?,The use of supervisors increases safety in my neighbourhood.,The use of supervisors increases safety in my neighbourhood.
1060,1346,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Threat of physical violence,Been a victim of threats of physical violence
1061,1347,Why didn't you report it to the municipality?,Through guilt or shame,Not reported due to guilt or shame
1062,1348,Where or when was this?,On the street in my neighborhood (recalculated without N/A),Treated unfairly/unequally on the street in my neighborhood (recalculated without N/A)
1063,1349,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Exploitation of human beings/trafficking,Human exploitation/trafficking occurs in the area
1064,1351,On what basis did you feel you were treated unfairly or unequally?,Sex,Feeling unfair/unequally treated by gender
1065,1352,To what extent do you agree or disagree with the following statements about the municipality?,The municipality appeals to local residents to contribute to quality of life and safety. (recalculated without N/A),The municipality appeals to local residents to contribute to quality of life and safety (recalculated without N/A)
1066,1353,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Abuse (outdoors),Been a victim of abuse (outdoors)
1067,1354,Where or when was this?,In cafe / restaurant or other place of entertainment,Treated unfairly/unequally in a bar/restaurant or other place of entertainment
1068,1359,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Burglary in your home, with theft",Been a victim of burglary/theft at home
1069,1361,Would you like to indicate with a score how satisfied or dissatisfied you are with:,road safety in the area,Satisfied with the road safety in the neighbourhood
1070,1362,Does it ever happen that you à,feel unsafe walking down the street in your neighborhood at night?,Unsafe to walk on the street in the neighborhood at night
1071,1363,To what extent do you agree or disagree with the following statements about the municipality?,The municipality listens to the opinion of its citizens.,The municipality listens to the opinion of its citizens
1072,1364,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Drug use or drug trafficking, for example on the street or in coffee shops",Drug use is common in my neighborhood
1073,1365,What were the main reasons you moved at the time?,Family expansion,Moved for family expansion
1074,1366,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Drug laboratories,Drug laboratories are common in the area
1075,1367,"During the past 12 months, how often did you do the following activities in your spare time?",Giving or following courses or lessons (for leisure).,Often giving/following courses or lessons
1076,1369,Do you want to sign up for,Feedback results,Specified for feedback results
1077,1370,Can you manage well when it comes to:,administration/finance,Can manage well with administration / finances
1078,1371,Can you manage well when it comes to:,household chores,Copes well with household chores
1079,1372,"During the past 12 months, how often did you do the following activities in your spare time?",Giving or following courses or lessons (for leisure).,Often giving/following courses or lessons
1080,1373,"Have you or anyone in your household experienced cyberbullying (gossip, taunting, bullying, stalking, blackmail or threats over the internet) in the past 12 months?",Your child/(TTn of) your children,Child(ren) experienced cyberbullying
1081,1374,What were the main reasons you moved at the time?,"Because of the neighbors (quarrel, irritation, nuisance)",Moved because of the neighbours
1082,1375,In which of the following associations / organizations have you been active in the past 12 months? Sports association,At school / education / childcare,Active at school/education/childcare
1083,1376,To what extent do you agree with the following statements?,In the past year I have gained more confidence in myself,Gained more confidence in myself
1084,1377,Can you manage well when it comes to:,shopping (recalculated without N/A),Copes well with grocery shopping (recalculated without N/A)
1085,1378,To what extent do you agree with the following statements?,"In the past year I have helped family, friends or neighbors more often","Helped family, friends or neighbors more often"
1086,1380,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,In the community center/community house,Meet the people from my neighborhood at the community center / community center
1087,1381,To what extent do you agree or disagree with the following statements about the municipality?,The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety.,The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety
1088,1383,Where or when was this?,In cafe / restaurant or other place of entertainment,Treated unfairly/unequally in a bar/restaurant or other place of entertainment
1089,1384,To what extent have you committed yourself to others in the past 12 months?,informal care to a friend who does not live in your neighbourhood,Provide informal care to a friend who does not live in my neighbourhood
1090,1385,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Religious or social association,Active in religious or social association
1091,1386,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,public transport (recalculated without N/A),Satisfaction with public transport offer (recalculated without N/A)
1092,1387,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,In my neighborhood little to no things are broken.,In my neighborhood little to no things are broken
1093,1390,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,(Street) Prostitution,(Street) prostitution occurs in the area
1094,1392,What do you think of the following statements about your current home?,The house is outdated.,House is outdated
1095,1393,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,facilities for young people,Satisfied with the range of facilities for young people in the neighbourhood
1096,1394,Are you getting help with anything?,"Walking, sitting and standing","Get help walking, sitting, and standing"
1097,1395,What were the main reasons you moved at the time?,I wanted a rental home instead of a home for sale,Moved to rent instead of buy
1098,1396,Are you getting help with anything?,Your psychological/mental health,Get mental/mental health help
1099,1398,Why didn't you report it to the municipality?,This is not a matter for the municipality,Not a matter for the municipality
1100,1400,What did you do then? (More answers possible),helped him/herself,helped him/herself
1101,1401,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Rubbish in the street,Litter on the street is (sometimes) common in my neighborhood
1102,1405,What were the main reasons you moved at the time?,Health / need for extra care,Relocated due to health/care needs
1103,1406,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,"facilities for the elderly (such as meeting places, daytime activities, etc.)",Satisfied with the provision of facilities for the elderly in the neighbourhood
1104,1407,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I have a lot of contact with other local residents.,Lots of contact with other local residents
1105,1408,Do you want a new or an existing home or a building plot?,What do you prefer?,Preference existing house or plot
1106,1409,Do you want to sign up for,Follow-up research,Submitted for further investigation
1107,1410,What were the main reasons you moved at the time?,Favorable time to sell a home,Moved due to favorable period to sell house
1108,1411,Do you want to sign up for,Follow-up research,Submitted for further investigation
1109,1413,Why didn't you report it to the municipality?,For fear of reaction or revenge,Not reported for fear of reaction or revenge
1110,1414,On what basis did you feel you were treated unfairly or unequally?,Origin / Skin color,Feeling of being treated unfairly/unequally based on origin/skin colour
1111,1415,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Violent crimes,Violent crime is (sometimes) common in my neighborhood
1112,1416,To what extent do you agree with the following statements?,"In the past year I have helped family, friends or neighbors more often","Helped family, friends or neighbors more often"
1113,1417,Do you have for your home:,Do you have: roller shutters or shutters for windows and/or doors,Roller shutters/shutters for my home
1114,1419,What do you think of the following statements about your current home?,The layout is suitable for me/my family.,Layout suitable for me/my family
1115,1420,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Theft FROM the car,Been a victim of theft from a car
1116,1422,Are you getting help with anything?,Your psychological/mental health,Get mental/mental health help
1117,1423,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,public transport (recalculated without N/A),Satisfaction with public transport offer (recalculated without N/A)
1118,1427,"Have you or anyone in your household experienced cyberbullying (gossip, taunting, bullying, stalking, blackmail or threats over the internet) in the past 12 months?",yourself,Had to deal with cyberbullying myself
1119,1428,To what extent do you agree or disagree with the following statements about the municipality?,The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety. (recalculated without N/A),The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety (recalculated without N/A)
1120,1429,Does it ever happen that you à,Are you afraid that you yourself will become a victim of crime?,Fear of becoming a victim of crime
1121,1431,Do you have for your home:,"Do you have: fire extinguishers, such as fire extinguisher and/or fire blanket",Fire extinguishers for my home
1122,1432,To what extent do you agree with the following statements?,In the past year I have gained more confidence in myself,Gained more confidence in myself
1123,1433,On what basis did you feel you were treated unfairly or unequally?,Age,Feeling of being treated unfairly/unequally in age
1124,1434,Are you getting help with anything?,"Walking, sitting and standing","Get help walking, sitting, and standing"
1125,1435,Do you have for your home:,"Do you have: fire extinguishers, such as fire extinguisher and/or fire blanket",Fire extinguishers for my home
1126,1437,Can you manage well when it comes to:,shopping,Can manage well with shopping
1127,1439,What did you do then? (More answers possible),Reported to the police or emergency center (112),Reported to the police/emergency center for people who cause nuisance in the neighbourhood
1128,1440,Which of the following activity(s) applies to you?,I do not work because I am long-term sick or incapacitated for work.,Do not work because I am long-term ill or incapacitated for work
1129,1442,"During the past 12 months, how often did you do the following activities in your spare time?",Giving or following courses or lessons (for leisure).,Often giving/following courses or lessons
1130,1444,In which of the following associations / organizations have you been active in the past 12 months? Sports association,I have not been active in club life,Not active in community life
1131,1445,Which of the following activity(s) applies to you?,I do paid work for less than 12 hours a week (1-11 hours).,Do paid work (1-11 hours per week)
1132,1446,Would you like to indicate with a score how satisfied or dissatisfied you are with:,road safety in the area,Satisfied with the road safety in the neighbourhood
1133,1447,"If you need help or care, you can fall back on:",family,Can rely on family
1134,1448,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Theft FROM the car,Been a victim of theft from a car
1135,1449,Why didn't you report it to the municipality?,For fear of reaction or revenge,Not reported for fear of reaction or revenge
1136,1450,To what extent do you agree or disagree with the following statements about the municipality?,The municipality listens to the opinion of its citizens.,The municipality listens to the opinion of its citizens
1137,1451,What were the main reasons you moved at the time?,Favorable time to sell a home,Moved due to favorable period to sell house
1138,1452,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,In the supermarket or shops,Meet the people from my neighborhood in the supermarket or shops
1139,1453,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Nuisance from vagrants and homeless people,Nuisance from vagrants/homeless people is (sometimes) common in my neighbourhood
1140,1454,Do you have for your home:,Do you have: outdoor lighting,Outdoor lighting for my home
1141,1455,Are you getting help with anything?,Shopping,Get help with grocery shopping
1142,1573,What type of house do you live in?,Open answer to closed question,Different kind of house
1143,1457,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,On the street,Meet the people from my neighborhood on the street
1144,1458,On what basis did you feel you were treated unfairly or unequally?,Sexual preference (recalculated without N/A),Feeling of being treated unfairly/unequally based on sexual preference (recalculated without N/A)
1145,1459,Why didn't you report it to the municipality?,I didn't know you could report this to the municipality,Didn't know you could report it to the council
1146,1460,Has the following happened to you or anyone else in your household in the past 12 months?,Identity fraud,Identity fraud occurred in household
1147,1461,Which of the following activity(s) applies to you?,I do paid work for at least 12 hours a week.,Do paid work (at least 12 hours per week)
1148,1463,What were the main reasons you moved at the time?,Marriage / cohabitation,moved due to marriage/cohabitation
1149,1464,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,People with a remarkable amount of money/expensive stuff without a (well-paid) job,People with a remarkable amount of money/expensive things without a (well-paid) job are found in the area
1150,1465,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Parking problems, for example incorrectly parked vehicles or crowds",Parking problems are (sometimes) common in my neighborhood
1151,1466,To what extent do you agree with the following statements?,In the past year I have started exercising more,Exercise more
1152,1467,What were the main reasons you moved at the time?,Poor landlord service,Moved due to poor service landlord
1153,1468,Why didn't you report it to the municipality?,It was already resolved,"Didn't report, was already resolved"
1154,1469,Why didn't you report it to the municipality?,It doesn't help anyway,It does not help to report to the municipality
1155,1470,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",The atmosphere,The atmosphere has changed in my neighborhood
1156,1471,Are you someone who,faces changes,Be wary of changes
1157,1472,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Social association,Active in social club
1158,1473,Can you manage well when it comes to:,administration/finance,Can manage well with administration / finances
1159,1474,What were the main reasons you moved at the time?,Parting,Moved due to divorce
1160,1475,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,Local residents treat each other in a pleasant way.,Local residents treat each other in a pleasant way
1161,1476,Where or when was this?,On the street in my neighborhood,Treated unfairly/unequally on the street in my neighbourhood
1162,1477,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,public transport,Satisfied with the public transport offer
1163,1478,On what basis did you feel you were treated unfairly or unequally?,Sexual preference (recalculated without N/A),Feeling of being treated unfairly/unequally based on sexual preference (recalculated without N/A)
1164,1479,To what extent do you agree or disagree with the following statements about the municipality?,"The municipality sufficiently involves citizens in its plans, activities and facilities.","The municipality sufficiently involves citizens in its plans, activities and facilities"
1165,1480,What were the main reasons you moved at the time?,Insufficient facilities in the area,Moved due to insufficient facilities in the area
1166,1481,What were the main reasons you moved at the time?,Favorable time to sell a home,Moved due to favorable period to sell house
1167,1482,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Companies that legalize criminal money (money laundering),Companies that make criminal money legal are common in my neighborhood
1168,1483,What were the main reasons you moved at the time?,"Because of the neighbors (quarrel, irritation, nuisance)",Moved because of the neighbours
1169,1485,What were the main reasons you moved at the time?,Family expansion,Moved for family expansion
1170,1486,To what extent do you agree or disagree with the following statements about the municipality?,The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety.,The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety
1171,1487,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Street robbery,Street robbery is common in my neighborhood
1172,1489,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Companies that legalize criminal money (money laundering),Companies that make criminal money legal are common in my neighborhood
1173,1490,In which of the following associations / organizations have you been active in the past 12 months? Sports association,In a healthcare facility,Active at a healthcare institution
1174,1491,On what basis did you feel you were treated unfairly or unequally?,Disability / Chronic illness (recalculated without N/A),Feeling of being treated unfairly/unequally by gender (recalculated without N/A)
1175,1492,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Dog poop,Dog poop is (sometimes) common in my neighborhood
1176,1652,Do you have for your home:,Do you have: outdoor lighting,Outdoor lighting for my home
1177,1498,What did you do then? (More answers possible),"Reported to another organisation: GGD Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution","Reported to the following organisation: GGD, Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution"
1178,1499,Where or when was this?,In cafe / restaurant or other place of entertainment,Treated unfairly/unequally in a bar/restaurant or other place of entertainment
1179,1500,Do you want to sign up for,Follow-up research,Submitted for further investigation
1180,1502,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Parking problems, for example incorrectly parked vehicles or crowds",Parking problems are (sometimes) common in my neighborhood
1181,1503,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the quality of the housing,Satisfied with the quality of the homes
1182,1504,What type of living environment do you want?,What type of living environment do you want?,Moving to what kind of living environment
1183,1507,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Dog poop,Dog poop is (sometimes) common in my neighborhood
1184,1508,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,My neighborhood is clean.,My neighborhood is clean
1185,1509,What type of housing do you prefer when you go?,(choose a housing type that is financially feasible for you),Preferred housing type if you are moving
1186,1510,On what basis did you feel you were treated unfairly or unequally?,Sexual preference (recalculated without N/A),Feeling of being treated unfairly/unequally based on sexual preference (recalculated without N/A)
1187,1512,What were the main reasons you moved at the time?,Wants to move closer to parents/children,Moved to live closer to parents/children
1188,1513,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,"I live in a nice neighbourhood, where people help each other and do things together.",Live in a nice neighborhood
1189,1514,Does it ever happen that you à,detour or detour in your own neighborhood to avoid unsafe places?,walk/drive around to avoid unsafe places
1190,1515,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction (to your home or garden),Been a victim of damage/destruction to your home/garden
1191,1516,Where or when was this?,When finding a (rental) house,Unfair/unequally treated when finding a (rental) home
1192,1518,What is the main reason you don't want to move?,Open answer to closed question,Main reason not to move
1193,1520,Has the following happened to you or anyone else in your household in the past 12 months?,Hacking,Hacking occurred in household
1194,1521,Which of the following activity(s) applies to you?,I am self-employed for at least 12 hours a week.,Work as a self-employed person (minimum 12 hours per week)
1195,1522,Which of the following activity(s) applies to you?,I am taking part in a reintegration programme.,Participate in reintegration process
