VraagKey,VraagOmschrijving,DeelVraagOmschrijving,Verkorte_Vraagstelling
1067,Kunt u zich goed redden als het gaat om: ,het aangaan en onderhouden van sociale contacten (herberekend zonder nvt),Kan zich goed redden met het aangaan en onderhouden van sociale contacten (herberekend zonder nvt)
1068,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik voel me thuis bij de mensen die in de buurt wonen.,Voel me thuis bij de mensen die in de buurt wonen
1069,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Overige diefstal,Slachtoffer geweest van overige diefstal
1070,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Mishandeling (buitenshuis),Slachtoffer geweest van mishandeling (buitenshuis)
1071,Wat is uw postcode?,,Wat is uw postcode?
1072,Krijgt u ergens hulp bij?,Boodschappen doen,Krijg hulp bij boodschappen doen
1073,Bent u iemand dieàà,de draad gemakkelijk oppakt als het even tegen heeft gezeten,Kan de draad makkelijk oppakken
1074,Bent u een man of een vrouw?,,Bent u een man of een vrouw?
1075,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning heeft dringend onderhoud nodig,Dringend onderhoud
1076,Waar woonde u?,3 antwoorden,
1077,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Levensovertuiging / religie / geloof (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op levensovertuiging/religie (herberekend zonder nvt)
1078,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Ergens anders:,Ontmoet de mensen uit mijn buurt ergens anders
1079, Welke koopprijs wilt u maximaal betalen bij verhuizing? (u kunt uitgaan van de WOZ-waarde),,Maximale koopprijs betaling bij verhuizing
1080,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,aandacht voor buren in een zorgwekkende situatie,Geef aandacht aan buren in zorgwekkende situatie
1081,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Seksuele voorkeur (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op seksuele voorkeur (herberekend zonder nvt)
1082,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Sportieve activiteiten (zelf sporten of sportwedstrijden bezoeken).,Vaak sportieve activiteiten gedaan
1083,Kunt u zich goed redden als het gaat om: ,boodschappen doen (herberekend zonder nvt),Kan zich goed redden met boodschappen doen (herberekend zonder nvt)
1084,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,openbaar vervoer,Tevreden over aanbod openbaar vervoer
1085,"Voelt u zich vaak, soms of zelden onveilig?",,Voelt zich vaak onveilig
1086,Komt het wel eens voor dat u à,bang bent dat u zelf slachtoffer wordt van criminaliteit?,Bang slachtoffer te worden van criminaliteit
1087,Bent u iemand dieàà,gemakkelijk zelf hulp regelt en organiseert als dat nodig is,Kan zelf hulp regelen 
1088,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Vrouwen en meisjes die op straat worden nagefloten, nageroepen, of op een andere manier ongewenst aandacht krijgen",Ongewenste aandacht op straat
1089,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,In mijn buurt zijn weinig tot geen dingen kapot.,In mijn buurt zijn weinig tot geen dingen kapot
1090,Waar of wanneer was dit? ,"Anders, namelijk",
1091,Hoe vaak heeft een persoon of hebben personen met verward gedrag in de afgelopen 12 maanden overlast veroorzaakt in uw buurt?,Open antwoord bij gesloten vraag,
1092,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,voorzieningen voor jongeren,Tevreden over aanbod voorzieningen voor jongeren in de buurt
1093,Kunt u zich goed redden als het gaat om: ,"het lopen, zitten en gaan staan (herberekend zonder nvt)","Kan zich goed redden met het lopen, zitten en gaan staan (herberekend zonder nvt)"
1094,Krijgt u ergens hulp bij?,Administratie / financiën,Krijg hulp bij administratie/financiën
1095,"Is uw buurt in de afgelopen 2 jaar veranderd wat betreft uiterlijk, sfeer en/of veiligheid?",Uiterlijk,Uiterlijk veranderd in mijn buurt
1096,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Handicap / Chronische ziekte (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht (herberekend zonder nvt)
1097,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Gezelligheidsvereniging,Actief bij gezelligheidsvereniging
1098,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,(Straat)Prostitutie,(Straat)prostitutie komen voor in de buurt
1099,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente luistert naar de mening van haar burgers.,De gemeente luistert naar de mening van haar burgers
1100,In welk soort woonomgeving woont u op dit moment?,Open antwoord bij gesloten vraag,
1101,Waarom heeft u geen melding gedaan bij de gemeente?,Het helpt toch niets,Helpt toch niet om melding te doen bij de gemeente
1102,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het schoonhouden/onderhouden van de buurt.,Helpen met schoonhouden/onderhouden van de buurt
1103,Vindt u dat de buurt waarin u woont het afgelopen jaar vooruit of achteruit is gegaan?,,Buurt vooruitgegaan afgelopen jaar
1104,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Overige (vrijetijds)vereniging,Actief bij overige (vrijetijds)vereniging
1105,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,mantelzorg aan een gezinslid of familielid,Geef mantelzorg aan gezinslid/familielid
1106,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Bedreiging met lichamelijk geweld,Slachtoffer geweest van bedreiging met lichamelijk geweld
1107,Voelt u zich wel eens onveilig in uw eigen buurt?,,Voelt zich wel eens onveilig in eigen buurt
1108,Kunt u zich goed redden als het gaat om:,de opvoeding van uw kinderen,Kan zich goed redden met de opvoeding van kinderen
1109, U heeft aangegeven dat u wilt verhuizen binnen Breda. Heeft u daarbij nog een voorkeur voor een buurt?,,Voorkeur van buurt om te verhuizen
1110,Waar of wanneer was dit? ,Op School / opleiding / stage (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op school/opleiding/stage (herberekend zonder nvt)
1111, U heeft aangegeven dat u wilt verhuizen binnen Breda. Heeft u daarbij nog een voorkeur voor een buurt?,,Voorkeur van buurt om te verhuizen
1112, Wilt u een nieuwe of een bestaande woning of een bouwkavel?, Waar gaat uw voorkeur naar uit?,Voorkeur bestaande woning of kavel
1113,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Open antwoord bij gesloten vraag,
1114,Buurt op basis importbestand,Onbekend,
1115,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Dronken mensen op straat,Dronken mensen op straat komt (soms) vaak voor in mijn buurt
1116,Krijgt u ergens hulp bij?,Uw psychische / geestelijke gezondheid,Krijg hulp bij psychische/geestelijke gezondheid
1117,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Geslacht (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht (herberekend zonder nvt)
1118,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Overlast door buurtbewoners,Overlast door buurtbewoners komen vaak voor in mijn buurt
1119,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben als zelfstandige werkzaam voor minimaal 12 uur in de week.,Werk als zelfstandige (minimaal 12uur per week)
1120,Vindt u dat er de afgelopen jaren sprake is van een toename van overlast door mensen met verward gedrag in uw buurt?,4 antwoorden,
1121,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,sportmogelijkheden,Tevreden over aanbod sportmogelijkheden
1122,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Leeftijd (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op leeftijd (herberekend zonder nvt)
1123,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Mensen die op straat worden lastig gevallen,Mensen die op straat  worden lastig gevallen komt (soms) vaak voor in mijn buurt
1124,Kunt u zich goed redden als het gaat om:,administratie/financidn,Kan zich goed redden met administratie/financiën
1125,Heeft u voor uw woning:,Heeft u: een inbraak-alarminstallatie,Inbraak-alarminstallatie voor mijn woning
1126,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Uitstapjes die geld kosten (zoals dierentuin, pretpark, uit eten e.d.).",Vaak uitstapjes gedaan die geld kosten
1127,Wat is de belangrijkste reden dat u niet wil verhuizen?,Wat is de belangrijkste reden dat u niet wil verhuizen?,Belangrijkste reden om niet te verhuizen
1128,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Afspreken met vrienden voor de gezelligheid of om samen leuke dingen te doen.,Vaak afspreken met vrienden
1129,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer vertrouwen gekregen in de toekomst,Meer vertrouwen gekregen in de toekomst
1130,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Agressief gedrag in het verkeer,Agressief gedrag in het verkeer komt (soms) vaak voor in mijn buurt
1131,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Iets anders (herberekend zonder nvt),Iets anders (herberekend zonder nvt)
1132,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Beschadiging of vernieling aan auto's en diefstal vanaf,Slachtoffer geweest  van beschadiging/vernieling aan auto's
1133,Wat is de belangrijkste reden dat u niet wil verhuizen?,Open antwoord bij gesloten vraag,Belangrijkste reden om niet te verhuizen
1134,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,basisonderwijs,Tevreden over aanbod basisonderwijs in de buurt
1135,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Seksuele voorkeur,Gevoel oneerlijk/ongelijk behandeld te zijn op seksuele voorkeur
1136,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Iets anders (herberekend zonder nvt),Iets anders (herberekend zonder nvt)
1137,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?
1138,In hoeverre kunt u zich vinden in de volgende uitspraken?,"In het afgelopen jaar ben ik actiever geworden in het vrijwilligerswerk (vereniging, kerk, politiek, buurtà)",Actiever geworden in vrijwilligerswerk
1139,Bent u iemand dieàà,opziet tegen veranderingen,Ziet op tegen veranderingen
1140,Wat is de belangrijkste reden dat u niet wil verhuizen?,Wat is de belangrijkste reden dat u niet wil verhuizen?,Belangrijkste reden om niet te verhuizen
1141,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Straatroof,Straatroof komt vaak voor in mijn buurt
1142,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Overlast door buurtbewoners,Overlast door buurtbewoners komen vaak voor in mijn buurt
1143,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,basisonderwijs,Tevreden over aanbod basisonderwijs in de buurt
1144,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Ik wilde een huurwoning in plaats van een koopwoning,Verhuisd om te huren in plaats van te kopen
1145,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,(Leden van) Motorbendes,(Leden van) motorbendes komen voor in de buurt
1146,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Overlast door buurtbewoners,Overlast door buurtbewoners komen vaak voor in mijn buurt
1147,Heeft u voor uw woning:,Heeft u: buitenverlichting,Buitenverlichting voor mijn woning
1148,Kunt u zich goed redden als het gaat om:,uw lichamelijke gezondheid,Kan zich goed redden met lichamelijke gezondheid
1149,Waar of wanneer was dit? ,Op het werk / bij het vinden van werk,Oneerlijk/ongelijk behandeld op het werk / bij het vinden van werk
1150,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Huidige woning niet geschikt voor ouderen,Verhuisd vanwege ongeschikte woning voor ouderen
1151,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Diefstal VAN auto, motor of scooter","Slachtoffer geweest van diefstal van auto, motor of scooter"
1152,Bent u een man of een vrouw?,,Bent u een man of een vrouw?
1153,Bent u iemand dieàà,opziet tegen veranderingen,Ziet op tegen veranderingen
1154,Krijgt u ergens hulp bij?,De opvoeding van uw kinderen,Krijg hulp bij opvoeding van kinderen
1155,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Melding gedaan bij de politie of alarmcentrale (112),Melding gedaan bij politie/alarmcentrale bij personen die overlast veroorzaken in de buurt
1156,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Drugsgebruik of handel in drugs, bijvoorbeeld op straat of in coffeeshops",Drugsgebruik komt vaak voor in mijn buurt
1157,Waar of wanneer was dit? ,"Anders, namelijk",
1158,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Open antwoord bij gesloten vraag,Hoe ontmoet u vooral de mensen uit uw buurt?
1159,In welke prijsklasse (koopwoning) valt uw huidige woning?   (u kunt uitgaan van de WOZ-waarde),,prijsklasse (koopwoning) huidige woning?  
1160,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur (herberekend zonder nvt)
1161,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Uitbuiting van mensen/mensenhandel,Uitbuiting van mensen/mensenhandel komen voor in de buurt
1162,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Wil dichterbij ouders / kinderen gaan wonen,Verhuisd om dichterbij ouders / kinderen te gaan wonen
1163,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Rommel op straat,Rommel op straat komt (soms) vaak voor in mijn buurt
1164,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Iets anders,
1165,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning is te klein.,Woning is te klein
1166,Wat is uw postcode?,,Wat is uw postcode?
1167,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Bedreiging,Bedreigingen komen vaak voor in mijn buurt
1168,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Afspreken met vrienden voor de gezelligheid of om samen leuke dingen te doen.,Vaak afspreken met vrienden
1169,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Sportvereniging,Actief bij sportvereniging
1170,Waarom heeft u geen melding gedaan bij de gemeente?,Geen zin of tijd voor gehad,Geen zin/tijd gehad voor melding bij de gemeente
1171,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,sportmogelijkheden,Tevreden over aanbod sportmogelijkheden
1172,Kunt u zich goed redden als het gaat om:,"het lopen, zitten en gaan staan","Kan zich goed redden met het lopen, zitten en gaan staan"
1173,In welk soort woonomgeving woont u op dit moment?,Open antwoord bij gesloten vraag,
1174,Komt het wel eens voor dat u à,uw kind(eren) niet toestaat ergens naartoe te gaan  bij u in de buurt omdat u het niet veilig vindt?,Onveilig in buurt voor kinderen
1456,Heeft u voor uw woning:,"Heeft u: brandblusmiddelen, zoals brandblusser en/of branddeken",Brandblusmiddelen voor mijn woning
1175,Komt het wel eens voor dat u à,in uw eigen buurt omloopt of omrijdt om onveilige plekken te vermijden?,loopt/rijd om om onveilige plekken te vermijden
1176,Waar of wanneer was dit? ,"Anders, namelijk (herberekend zonder nvt)","Anders, namelijk (herberekend zonder nvt)"
1177,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Rommel op straat,Rommel op straat komt (soms) vaak voor in mijn buurt
1178,Kunt u via een rapportcijfer aangeven hoe tevreden u bent over de wijze waarop de gemeente zich inzet voor de leefbaarheid en veiligheid bij u in de buurt?,,Rapportcijfer inzet gemeente voor de leefbaarheid en veiligheid in de buurt
1179,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Op school / het onderwijs / kinderopvang,Actief op school/hetonderwijs/kinderopvang
1180,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Niks,Niks gedaan met personen die overlast veroorzaken in de buurt
1181,Kunt u zich goed redden als het gaat om: ,het aangaan en onderhouden van sociale contacten (herberekend zonder nvt),Kan zich goed redden met het aangaan en onderhouden van sociale contacten (herberekend zonder nvt)
1182,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning is te klein.,Woning is te klein
1183,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid. (herberekend zonder nvt),De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid (herberekend zonder nvt)
1184,"Heeft u in de afgelopen 12 maanden een buurthuis, dorpshuis of wijkcentrum bezocht?",,Buurthuis/dorpshuis of wijkcentrum bezocht
1185,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Diefstal UIT de auto,Slachtoffer geweest van diefstal  uit auto
1186,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,"ik heb nu geen betaald werk, aar ben wl op zoek naar werk",Op zoek naar werk
1187,Wilt u binnen twee jaar verhuizen?,,Wilt binnen 2 jaar verhuizen
1188,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het onderhoud van het openbaar groen.,Helpen met onderhoud van het openbaar groen
1189,Kunt u zich goed redden als het gaat om: ,uw psychische/geestelijke gezondheid (herberekend zonder nvt),Kan zich goed redden met psychische/geestelijke gezondheid (herberekend zonder nvt)
1190,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning is verouderd.,Woning is verouderd
1191,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik verricht betaald werk voor minder dan 12 uur in de week (1-11 uur).,Verricht betaald werk (1-11uur per week)
1192,"Wilt u van elk van de volgende uitspraken aangeven in hoeverre die op u, zoals u de laatste tijd bent, van toepassing is?",In mis mensen om me heen.,Mis mensen om me heen
1193,"Beantwoord deze vraag alleen als u, of iemand anders in uw huishouden, weleens te maken heeft gehad met verkoopfraude in de afgelopen 12 maanden. Heeft u, bij de laatste keer dat dit gebeurde, de goederen/diensten gekocht of verkocht via het internet of e",,Heeft goederen/diensten gekocht of verkocht via internet
1194,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid. (herberekend zonder nvt),De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid (herberekend zonder nvt)
1195,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik zou niet zo snel weggaan uit deze buurt.,Gaat niet snel weg uit deze buurt
1196,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Levensovertuiging / religie / geloof (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op levensovertuiging/religie (herberekend zonder nvt)
1197,Waar of wanneer was dit? ,"Anders, namelijk (herberekend zonder nvt)","Anders, namelijk (herberekend zonder nvt)"
1198,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de kwaliteit van de woningen,Tevreden over kwaliteiten van de woningen
1199,Komt het wel eens voor dat u à,in uw eigen buurt omloopt of omrijdt om onveilige plekken te vermijden?,loopt/rijd om om onveilige plekken te vermijden
1200,Hoe vaak heeft een persoon of hebben personen met verward gedrag in de afgelopen 12 maanden overlast veroorzaakt in uw buurt?,,Vaak overlast van personen met verward gedrag
1201,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),"Iets anders, namelijk:",
1202,Kunt u zich goed redden als het gaat om: ,"uw algemene dagelijkse activiteiten: wassen, aankleden, naar toilet gaan, eten, e.d. (herberekend zonder nvt)",Kan zich goed redden met algemene dagelijkse activiteiten (herberekend zonder nvt)
1203,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Bekladde muren of gebouwen/graffiti,Bekladde muren/gebouwen en graffitti komt (soms) vaak voor in mijn buurt
1204,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur,Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur
1205, Welke koopprijs wilt u maximaal betalen bij verhuizing? (u kunt uitgaan van de WOZ-waarde),,Maximale koopprijs betaling bij verhuizing
1206,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Op de sportvereniging,Ontmoet de mensen uit mijn buurt bij de sportvereniging
1207,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Inbraak in schuur, garage of berging",Slachtoffer  geweest van  inbraak  in schuur/garage/berging
1208,"In welke huurklasse valt uw huidige woning? bij huurwoningen gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag. ",,"In welke huurklasse valt uw huidige woning? bij huurwoningen gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag. "
1209,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,openbaar vervoer (herberekend zonder nvt),Tevreden over aanbod openbaar vervoer (herberekend zonder nvt)
1210,"Wilt u van elk van de volgende uitspraken aangeven in hoeverre die op u, zoals u de laatste tijd bent, van toepassing is?",In mis mensen om me heen.,Mis mensen om me heen
1211,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Om financiële redenen,Verhuisd om financiële redenen
1212,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het onderhoud van het openbaar groen.,Helpen met onderhoud van het openbaar groen
1213,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,,
1214,Voelt u zich wel eens eenzaam of alleen?,,Voel me eenzaam of alleen
1215,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),"Iets anders, namelijk:",
1216,Waar of wanneer was dit? ,"Anders, namelijk (herberekend zonder nvt)","Anders, namelijk (herberekend zonder nvt)"
1217,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer contact gehad met mensen in mijn buurt,Meer contact gehad met mensen in mijn buurt
1218,Waarom heeft u geen melding gedaan bij de gemeente?,Geen antwoord,
1219, Wat voor woningtype heeft uw voorkeur als u gaat ?,Open antwoord bij gesloten vraag,
1220,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,In mijn buurt zijn weinig tot geen dingen kapot.,In mijn buurt zijn weinig tot geen dingen kapot
1221,Waar of wanneer was dit? ,Op het werk / bij het vinden van werk (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op het werk / bij het vinden van werk (herberekend zonder nvt)
1222,In welke mate voelt u zich gelukkig?,,In welke mate voelt u zich gelukkig?
1223,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik verricht betaald werk voor minimaal 12 uur in de week.,Verricht betaald werk (minimaal 12uur per week)
1224,In wat voor type woning woont u?,Open antwoord bij gesloten vraag,Ander soort type woning
1225,Wat vindt u van de volgende stellingen over uw huidige woning?,De indeling is geschikt voor mij/mijn gezin.,Indeling geschikt voor mij/mijn gezin
1226,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,De mensen in de buurt kennen elkaar nauwelijks.,De mensen in de buurt kennen elkaar nauwelijks
1227,Wat is de belangrijkste reden dat u niet wil verhuizen?,Wat is de belangrijkste reden dat u niet wil verhuizen?,Belangrijkste reden om niet te verhuizen
1228,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen bij buurtpreventie (opletten wat er gebeurt en onregelmatigheden doorgeven aan de relevante instanties).,Helpen bij buurtpreventie
1229,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Verkoopfraude,Verkoopfraude voorgekomen in huishouden
1230,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur (herberekend zonder nvt)
1231,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Drugslaboratoria,Drugslaboratoria komen voor in de buurt
1232,Bent u iemand dieàà,gemakkelijk zelf hulp regelt en organiseert als dat nodig is,Kan zelf hulp regelen 
1233,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de kwaliteit van de woningen,Tevreden over kwaliteiten van de woningen
1234,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik verricht betaald werk voor minimaal 12 uur in de week.,Verricht betaald werk (minimaal 12uur per week)
1235,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Huidige woning niet geschikt voor ouderen,Verhuisd vanwege ongeschikte woning voor ouderen
1236,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Te hard rijden,Te hard rijden komt (soms) vaak voor in mijn buurt
1237,Kunt u zich goed redden als het gaat om:,"het lopen, zitten en gaan staan","Kan zich goed redden met het lopen, zitten en gaan staan"
1238,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Uitbuiting van mensen/mensenhandel,Uitbuiting van mensen/mensenhandel komen voor in de buurt
